funded_amnt,int_rate,installment,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,is_bad
4000,7.29%,79.76,10.87,0,0,15,0,12087,12.1,44,0
16000,18.25%,408.48,9.15,0,2,4,0,10114,64,5,0
8700,7.88%,272.15,11.24,0,0,4,0,81,0.6,8,0
18000,11.49%,395.78,6.18,1,0,6,0,10030,37.1,23,0
16000,11.83%,530.15,19.03,0,4,8,0,10740,40.4,21,0
3000,15.58%,72.29,7.83,2,1,6,0,1715,26.4,25,0
8725,7.51%,174.88,14.28,0,0,18,0,5466,11.1,29,0
3975,17.58%,100.04,10.29,0,0,9,0,10354,95.9,10,0
25000,15.58%,873.76,15.36,0,2,11,0,19662,59.2,27,0
10000,8.00%,313.37,6.48,0,1,11,0,19998,18.3,23,0
10000,6.62%,307.04,17.11,0,0,10,0,15046,39.9,18,0
23000,12.18%,765.9,14.96,0,0,12,0,25274,39.5,24,0
20000,8.90%,635.07,15.88,0,2,12,0,36546,73.4,27,0
3725,10.96%,121.89,17.41,0,3,3,0,886,25.3,5,0
5000,7.29%,155.05,18.66,0,0,13,0,23484,70.1,37,0
25000,11.71%,552.46,13.42,0,0,5,0,18591,37.9,19,0
7350,7.66%,229.18,14.95,0,0,4,0,8511,78.8,9,1
4000,13.35%,91.74,19.32,0,0,9,0,5276,62.1,19,0
20000,12.42%,668.31,19.09,0,1,12,0,16167,70.3,27,0
30000,11.49%,989.14,5.22,1,3,5,0,49805,0,36,0
12000,16.00%,421.89,17.48,0,6,13,0,1249,6.1,23,1
20000,11.99%,664.2,12.22,0,0,8,0,27733,80.4,24,0
16900,16.45%,415.03,15.43,0,0,6,0,4971,43.5,19,0
10000,12.53%,334.67,12.2,0,0,16,0,444,2.5,54,0
6900,9.88%,222.26,16.81,0,3,10,0,150,3.1,24,0
26000,18.25%,663.78,3.93,0,1,5,0,8482,73.8,20,0
6000,10.59%,195.27,15.89,0,1,10,0,20691,51.6,20,0
5400,7.42%,167.78,10.71,0,0,11,0,2459,44.7,26,0
7500,15.45%,261.65,24.94,0,8,16,0,41705,95.2,24,0
8000,14.61%,275.81,0,0,0,2,0,0,0,7,0
12025,13.49%,408.02,19.99,0,1,6,0,24678,79,22,0
7200,13.80%,166.79,22.59,0,2,10,0,2894,36.2,13,0
11600,13.49%,266.86,20.69,0,0,6,0,10949,61.9,12,0
2800,7.40%,86.97,15.15,0,0,6,0,2146,20.2,16,0
25000,14.91%,593.57,8.14,0,0,10,0,14563,68.1,23,0
20000,10.99%,654.68,13.65,0,0,8,0,27686,54.3,26,0
12500,10.25%,404.81,9.46,0,0,14,0,9936,16.7,29,0
6000,10.59%,195.27,12.74,0,3,11,0,528,9.1,22,0
7000,11.11%,229.54,10.98,0,1,8,0,6772,72.8,18,0
12000,13.06%,404.68,17.71,0,3,8,0,13041,81.5,36,0
8275,11.12%,180.42,13.55,0,3,7,0,7616,58.1,16,0
14000,13.99%,325.69,0.98,0,2,6,0,1555,24.7,10,0
